Time_Start,Time_End,Renko_Open,Renko_Close,Volume_Total
8/12/2024 7:44:50,8/12/2024 7:44:50,18655,18650,78
8/12/2024 7:44:55,8/12/2024 7:48:35,18650,18645,452
8/12/2024 7:48:40,8/12/2024 7:51:00,18650,18655,259
8/12/2024 7:51:05,8/12/2024 7:51:10,18655,18660,163
8/12/2024 7:51:15,8/12/2024 8:06:55,18660,18665,1354
8/12/2024 8:07:05,8/12/2024 8:21:45,18665,18670,1485
8/12/2024 8:21:50,8/12/2024 8:25:00,18670,18675,388
8/12/2024 8:25:05,8/12/2024 8:27:55,18675,18680,368
8/12/2024 8:28:00,8/12/2024 8:29:55,18680,18685,567
8/12/2024 8:30:00,8/12/2024 8:31:55,18685,18690,469
8/12/2024 8:32:00,8/12/2024 8:34:15,18685,18680,351
8/12/2024 8:34:20,8/12/2024 8:36:05,18680,18675,277
8/12/2024 8:36:10,8/12/2024 8:42:20,18675,18670,735
8/12/2024 8:42:25,8/12/2024 8:46:45,18670,18665,432
8/12/2024 8:46:50,8/12/2024 8:53:05,18665,18660,779
8/12/2024 8:53:10,8/12/2024 9:01:25,18660,18655,1298
8/12/2024 9:01:30,8/12/2024 9:02:35,18660,18665,341
8/12/2024 9:02:40,8/12/2024 9:08:25,18665,18670,715
8/12/2024 9:08:30,8/12/2024 9:09:35,18665,18660,160
8/12/2024 9:09:40,8/12/2024 9:12:20,18660,18655,536
8/12/2024 9:12:25,8/12/2024 9:23:40,18655,18650,2060
8/12/2024 9:23:45,8/12/2024 9:28:00,18655,18660,1108
8/12/2024 9:28:05,8/12/2024 9:28:25,18655,18650,800
8/12/2024 9:28:05,8/12/2024 9:28:25,18650,18645,0
8/12/2024 9:28:30,8/12/2024 9:30:45,18645,18640,3593
8/12/2024 9:30:50,8/12/2024 9:30:50,18645,18650,281
8/12/2024 9:30:50,8/12/2024 9:30:50,18650,18655,0
8/12/2024 9:30:55,8/12/2024 9:31:15,18655,18660,1308
8/12/2024 9:30:55,8/12/2024 9:31:15,18660,18665,0
8/12/2024 9:31:20,8/12/2024 9:31:20,18660,18655,291
8/12/2024 9:31:20,8/12/2024 9:31:20,18655,18650,0
8/12/2024 9:31:25,8/12/2024 9:31:40,18650,18645,686
8/12/2024 9:31:25,8/12/2024 9:31:40,18645,18640,0
8/12/2024 9:31:45,8/12/2024 9:31:55,18645,18650,390
8/12/2024 9:32:00,8/12/2024 9:32:10,18645,18640,605
8/12/2024 9:32:15,8/12/2024 9:32:35,18645,18650,671
8/12/2024 9:32:40,8/12/2024 9:33:05,18650,18655,826
8/12/2024 9:33:10,8/12/2024 9:33:40,18655,18660,1015
8/12/2024 9:33:45,8/12/2024 9:34:45,18655,18650,1423
8/12/2024 9:34:50,8/12/2024 9:34:50,18655,18660,153
8/12/2024 9:34:55,8/12/2024 9:34:55,18660,18665,178
8/12/2024 9:35:00,8/12/2024 9:35:30,18665,18670,1268
8/12/2024 9:35:35,8/12/2024 9:36:00,18665,18660,693
8/12/2024 9:36:05,8/12/2024 9:36:25,18660,18655,913
8/12/2024 9:36:30,8/12/2024 9:36:55,18655,18650,830
8/12/2024 9:37:00,8/12/2024 9:37:10,18650,18645,579
8/12/2024 9:37:15,8/12/2024 9:38:05,18650,18655,1365
8/12/2024 9:38:10,8/12/2024 9:38:10,18650,18645,378
8/12/2024 9:38:10,8/12/2024 9:38:10,18645,18640,0
8/12/2024 9:38:15,8/12/2024 9:39:05,18640,18635,1529
8/12/2024 9:39:10,8/12/2024 9:39:20,18635,18630,611
8/12/2024 9:39:25,8/12/2024 9:39:35,18630,18625,613
8/12/2024 9:39:40,8/12/2024 9:40:00,18625,18620,947
8/12/2024 9:39:40,8/12/2024 9:40:00,18620,18615,0
8/12/2024 9:40:05,8/12/2024 9:40:25,18620,18625,978
8/12/2024 9:40:30,8/12/2024 9:40:50,18625,18630,733
8/12/2024 9:40:55,8/12/2024 9:40:55,18625,18620,73
8/12/2024 9:41:00,8/12/2024 9:41:00,18620,18615,219
8/12/2024 9:41:05,8/12/2024 9:42:05,18615,18610,1910
8/12/2024 9:42:10,8/12/2024 9:42:10,18610,18605,429
8/12/2024 9:42:10,8/12/2024 9:42:10,18605,18600,0
8/12/2024 9:42:15,8/12/2024 9:42:25,18600,18595,710
8/12/2024 9:42:30,8/12/2024 9:44:00,18595,18590,3634
8/12/2024 9:44:05,8/12/2024 9:44:05,18590,18585,504
8/12/2024 9:44:05,8/12/2024 9:44:05,18585,18580,0
8/12/2024 9:44:10,8/12/2024 9:44:15,18580,18575,790
8/12/2024 9:44:10,8/12/2024 9:44:15,18575,18570,0
8/12/2024 9:44:20,8/12/2024 9:46:05,18570,18565,4283
8/12/2024 9:46:10,8/12/2024 9:46:20,18565,18560,512
8/12/2024 9:46:25,8/12/2024 9:46:35,18560,18555,931
8/12/2024 9:46:40,8/12/2024 9:47:05,18555,18550,1009
8/12/2024 9:47:10,8/12/2024 9:47:40,18550,18545,1404
8/12/2024 9:47:45,8/12/2024 9:47:55,18550,18555,440
8/12/2024 9:48:00,8/12/2024 9:48:00,18555,18560,190
8/12/2024 9:48:05,8/12/2024 9:48:30,18560,18565,1118
8/12/2024 9:48:35,8/12/2024 9:48:50,18560,18555,499
8/12/2024 9:48:55,8/12/2024 9:49:15,18555,18550,950
8/12/2024 9:48:55,8/12/2024 9:49:15,18550,18545,0
8/12/2024 9:49:20,8/12/2024 9:49:35,18545,18540,917
8/12/2024 9:49:40,8/12/2024 9:50:05,18545,18550,957
8/12/2024 9:50:10,8/12/2024 9:50:10,18550,18555,192
8/12/2024 9:50:15,8/12/2024 9:50:15,18555,18560,305
8/12/2024 9:50:15,8/12/2024 9:50:15,18560,18565,0
8/12/2024 9:50:20,8/12/2024 9:50:25,18565,18570,638
8/12/2024 9:50:20,8/12/2024 9:50:25,18570,18575,0
8/12/2024 9:50:30,8/12/2024 9:51:00,18575,18580,1369
8/12/2024 9:51:05,8/12/2024 9:51:05,18580,18585,218
8/12/2024 9:51:10,8/12/2024 9:51:35,18585,18590,1011
8/12/2024 9:51:40,8/12/2024 9:51:40,18585,18580,189
8/12/2024 9:51:45,8/12/2024 9:52:05,18580,18575,739
8/12/2024 9:52:10,8/12/2024 9:52:20,18575,18570,488
